t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20070430133736000_1_S31134_I52241.nii.gzConfidences: 20.79,  1.50, 77.71
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070208172659191_1_S26142_I38615.nii.gzConfidences:  5.82,  0.04, 94.15
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_094_S_1330_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080401121240233_1_S47765_I100019.nii.gzConfidences: 17.88,  0.18, 81.94
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_027_S_4757_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130603151512399_8_S191210_I374946.nii.gzConfidences:  7.27, 83.75,  8.98
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_137_S_4227_MR_MPRAGE_br_raw_20110921100434604_168_S122848_I257210.nii.gzConfidences: 78.20, 20.20,  1.60
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20071008105138549_1_S41084_I77107.nii.gzConfidences: 14.22,  2.15, 83.63
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_037_S_1078_MR_FSE_PD_T2__br_raw_20061130140125065_1_S23177_I30958.nii.gzConfidences:  1.57,  0.01, 98.43
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_072_S_2116_MR_MPRAGE_br_raw_20121108124622321_48_S173767_I345514.nii.gzConfidences: 52.42, 46.96,  0.62
t1        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_021_S_4857_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20131004132649870_13_S203015_I393291.nii.gzConfidences:  2.20, 96.77,  1.03
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20060726085037577_95_S17250_I19635.nii.gzConfidences:  0.59,  0.00, 99.41
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20070104122651553_1_S24644_I35169.nii.gzConfidences: 17.02,  2.05, 80.93
pd        	/home/sam/phinet/data/adni_holdout/preprocess/t1/ADNI_041_S_0679_MR_MPRAGE_br_raw_20070814092203359_98_S37276_I67547.nii.gzConfidences: 91.04,  0.47,  8.49
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20140708154207778_47_S97233_I209897.nii.gzConfidences:  7.49,  0.22, 92.29
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20070605152015052_1_S33046_I55986.nii.gzConfidences:  8.29,  0.27, 91.44
t2        	/home/sam/phinet/data/adni_holdout/preprocess/pd/ADNI_029_S_0999_MR_Axial_PD_T2_FSE__br_raw_20061201100622693_1_S23247_I31237.nii.gzConfidences: 11.09,  0.13, 88.78
