pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
t2        	ADNI_029_S_4585_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20160525161233831_14_S447940_I715721.nii.gzConfidences: 34.38, 30.33, 35.29
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20110622133502643_124_S112302_I241291.nii.gzConfidences: 71.96, 19.15,  8.90
pd        	ADNI_002_S_2010_MR_MPRAGE_br_raw_20101022214823527_109_S93650_I199147.nii.gzConfidences: 56.44, 41.52,  2.04
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20120810134948089_113_S160526_I323138.nii.gzConfidences: 75.34, 22.04,  2.62
t2        	ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20070821105852680_1_S37932_I69354.nii.gzConfidences: 32.30,  7.78, 59.92
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20100224153948222_77_S80420_I166749.nii.gzConfidences: 40.36,  9.62, 50.02
pd        	ADNI_024_S_4169_MR_MPRAGE_br_raw_20120229173221190_86_S142152_I287239.nii.gzConfidences: 78.35,  4.62, 17.03
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20101216170208621_162_S96673_I208975.nii.gzConfidences: 41.63, 27.02, 31.35
pd        	ADNI_141_S_1378_MR_MPRAGE_br_raw_20070326150630532_98_S28927_I46859.nii.gzConfidences: 72.57, 17.73,  9.70
t2        	ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20061027160700663_1_S21254_I27781.nii.gzConfidences: 19.45,  6.68, 73.88
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20061124123244310_125_S22884_I30446.nii.gzConfidences: 82.11,  9.52,  8.38
t2        	ADNI_027_S_1082_MR_Axial_PD_T2_FSE__br_raw_20071205092401182_1_S43333_I84143.nii.gzConfidences: 17.05,  8.71, 74.24
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20120210131838455_114_S140408_I283808.nii.gzConfidences: 68.92, 19.21, 11.87
t2        	ADNI_126_S_4891_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140813162533031_22_S227482_I439285.nii.gzConfidences: 25.71, 31.75, 42.54
t2        	ADNI_016_S_4952_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20131114101124945_25_S206034_I398286.nii.gzConfidences: 30.24, 30.50, 39.25
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20130314110223664_123_S184444_I363249.nii.gzConfidences: 67.04, 25.28,  7.68
pd        	ADNI_072_S_4465_MR_MPRAGE_br_raw_20130213162443344_18_S182160_I358981.nii.gzConfidences: 70.24, 15.17, 14.59
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20070212165059309_1_S26397_I39560.nii.gzConfidences: 27.01, 17.59, 55.40
t2        	ADNI_137_S_1041_MR_Axial_PD_T2_FSE__br_raw_20061110084011866_63_S22289_I29237.nii.gzConfidences: 22.45,  1.66, 75.90
pd        	ADNI_032_S_5289_MR_MPRAGE_br_raw_20131016151917586_23_S204015_I394658.nii.gzConfidences: 75.78, 20.03,  4.19
t2        	ADNI_094_S_1397_MR_Axial_PD_T2_FSE__br_raw_20080519103553546_1_S50304_I106048.nii.gzConfidences: 36.72, 11.46, 51.82
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20071015171153390_95_S41489_I77788.nii.gzConfidences: 24.93,  5.34, 69.73
pd        	ADNI_024_S_4169_MR_MPRAGE_br_raw_20121024155503963_5_S171970_I342013.nii.gzConfidences: 75.35, 18.04,  6.61
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20080409214919271_1_S48529_I101814.nii.gzConfidences: 31.06, 12.54, 56.40
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20060524152728306_1_S14887_I15968.nii.gzConfidences: 19.36, 10.74, 69.90
pd        	ADNI_036_S_4562_MR_MPRAGE_br_raw_20130408144251858_63_S186191_I365840.nii.gzConfidences: 85.85, 13.66,  0.48
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20070808120542535_95_S37007_I65815.nii.gzConfidences: 23.58,  3.95, 72.47
pd        	ADNI_023_S_0331_MR_MPRAGE_br_raw_20060412131809068_1_S13168_I13417.nii.gzConfidences: 70.54, 27.44,  2.02
pd        	ADNI_036_S_4562_MR_MPRAGE_br_raw_20120713100218856_107_S157519_I316201.nii.gzConfidences: 86.83, 11.62,  1.56
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20120629123030418_91_S155985_I313446.nii.gzConfidences: 27.28,  9.83, 62.89
pd        	ADNI_002_S_2073_MR_MPRAGE_br_raw_20101206185927496_48_S95924_I207661.nii.gzConfidences: 66.66, 19.56, 13.79
pd        	ADNI_072_S_2070_MR_MPRAGE_br_raw_20100908101811461_22_S91785_I192258.nii.gzConfidences: 70.27, 24.81,  4.92
pd        	ADNI_067_S_1253_MR_MPRAGE_br_raw_20080514115218138_63_S50068_I105503.nii.gzConfidences: 73.75, 25.81,  0.44
t1        	ADNI_003_S_5130_MR_Axial_T2-FSE_WITH_Fat_Sat__br_raw_20170106124910526_34_S525410_I806654.nii.gzConfidences: 29.65, 52.87, 17.48
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20070322141644141_3_S28722_I46270.nii.gzConfidences: 28.21,  6.25, 65.55
t2        	ADNI_037_S_0327_MR_FSE_PD_T2__br_raw_20061115161537457_1_S22546_I29681.nii.gzConfidences: 24.09,  4.24, 71.67
t2        	ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164532004_1_S12135_I11886.nii.gzConfidences: 29.68,  2.72, 67.60
t2        	ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20060707133952559_1_S16311_I18217.nii.gzConfidences: 18.38, 13.64, 67.98
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20110719153751715_26_S115332_I245678.nii.gzConfidences: 74.33, 23.12,  2.55
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20140501140843797_88_S217564_I423250.nii.gzConfidences: 68.32, 18.22, 13.45
pd        	ADNI_031_S_4590_MR_MPRAGE_br_raw_20120316145852808_106_S144046_I290642.nii.gzConfidences: 67.94, 10.96, 21.09
pd        	ADNI_011_S_0022_MR_MPRAGE_br_raw_20060606105324300_1_S15232_I16534.nii.gzConfidences: 83.70,  7.45,  8.85
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20061122113436006_1_S22826_I30357.nii.gzConfidences: 31.40, 15.65, 52.95
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100212429_81_S41528_I77850.nii.gzConfidences: 30.62,  8.15, 61.23
pd        	ADNI_012_S_0689_MR_MPRAGE_br_raw_20070727165355187_67_S36501_I62543.nii.gzConfidences: 77.96, 16.93,  5.11
t2        	ADNI_094_S_1330_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20140707174338961_113_S224394_I434649.nii.gzConfidences: 28.34,  3.89, 67.77
t2        	ADNI_027_S_0485_MR_Axial_PD_T2_FSE__br_raw_20070531084507104_1_S32856_I55617.nii.gzConfidences: 33.94,  6.95, 59.11
pd        	ADNI_141_S_4976_MR_MPRAGE_br_raw_20130702143053080_158_S193935_I379001.nii.gzConfidences: 68.61, 23.70,  7.69
pd        	ADNI_073_S_4552_MR_MPRAGE_br_raw_20120215154934047_48_S140944_I285080.nii.gzConfidences: 75.92, 21.16,  2.93
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20120608164648165_115_S153358_I308901.nii.gzConfidences: 77.49, 17.82,  4.69
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20080731122255753_1_S54551_I114942.nii.gzConfidences: 25.13, 10.02, 64.85
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20071205134712285_1_S43377_I84213.nii.gzConfidences: 26.09, 11.05, 62.86
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163045147_87_S83438_I171253.nii.gzConfidences: 43.46,  1.51, 55.03
pd        	ADNI_014_S_4079_MR_MPRAGE_br_raw_20110616135301981_156_S111787_I240513.nii.gzConfidences: 72.91, 24.30,  2.79
pd        	ADNI_037_S_4432_MR_MPRAGE_br_raw_20140319150323627_29_S214364_I417158.nii.gzConfidences: 78.96,  3.74, 17.29
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20150506123126939_5_S257749_I489768.nii.gzConfidences: 66.77, 26.47,  6.76
t2        	ADNI_094_S_1417_MR_Axial_PD_T2_FSE__br_raw_20080819095548879_1_S55485_I116315.nii.gzConfidences: 18.97, 13.34, 67.69
t2        	ADNI_031_S_0321_MR_FSE_PD_T2__br_raw_20070420101801265_1_S30063_I49830.nii.gzConfidences: 16.71, 10.72, 72.57
pd        	ADNI_073_S_4795_MR_MPRAGE_br_raw_20120606151852821_163_S153047_I308459.nii.gzConfidences: 73.71, 17.11,  9.18
pd        	ADNI_013_S_2389_MR_MPRAGE_br_raw_20121012131118435_25_S170658_I339821.nii.gzConfidences: 49.49, 30.52, 19.99
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20070322132334372_79_S28703_I46244.nii.gzConfidences: 18.08,  3.96, 77.96
