epoch,train_loss,train_acc,val_loss,val_acc
1,1.5228,0.4429,1.2015,0.6402
2,1.1844,0.5809,0.9136,0.7270
3,0.9692,0.6632,0.7663,0.7685
4,0.8249,0.7162,0.6893,0.7877
5,0.7241,0.7547,0.6161,0.8092
6,0.6458,0.7820,0.5750,0.8222
7,0.5838,0.8039,0.5409,0.8323
8,0.5331,0.8215,0.5096,0.8431
9,0.4912,0.8364,0.4817,0.8529
10,0.4561,0.8484,0.4601,0.8590
11,0.4253,0.8596,0.4396,0.8659
12,0.3986,0.8691,0.4273,0.8701
13,0.3757,0.8773,0.4126,0.8750
14,0.3551,0.8846,0.3974,0.8805
15,0.3374,0.8906,0.3839,0.8851
16,0.3210,0.8964,0.3711,0.8894
17,0.3062,0.9016,0.3595,0.8931
18,0.2931,0.9061,0.3485,0.8969
19,0.2804,0.9104,0.3388,0.9001
20,0.2685,0.9144,0.3297,0.9032
21,0.2575,0.9181,0.3218,0.9059
22,0.2474,0.9214,0.3140,0.9083
23,0.2381,0.9245,0.3071,0.9102
24,0.2294,0.9273,0.3004,0.9124
25,0.2217,0.9298,0.2956,0.9140
26,0.2153,0.9318,0.2922,0.9154
27,0.2084,0.9341,0.2870,0.9170
28,0.2020,0.9361,0.2824,0.9184
29,0.1961,0.9381,0.2784,0.9196
30,0.1918,0.9393,0.2739,0.9210
31,0.1863,0.9411,0.2700,0.9223
32,0.1811,0.9427,0.2678,0.9231
33,0.1761,0.9443,0.2656,0.9241
34,0.1715,0.9458,0.2641,0.9248
35,0.1670,0.9472,0.2629,0.9254
36,0.1627,0.9486,0.2621,0.9261
37,0.1589,0.9498,0.2625,0.9260
38,0.1552,0.9510,0.2600,0.9268
39,0.1516,0.9522,0.2584,0.9277
40,0.1482,0.9533,0.2568,0.9285
41,0.1450,0.9543,0.2609,0.9277
42,0.1421,0.9552,0.2589,0.9286
43,0.1392,0.9561,0.2573,0.9292
44,0.1363,0.9570,0.2559,0.9300
45,0.1336,0.9579,0.2544,0.9307
46,0.1311,0.9587,0.2538,0.9311
47,0.1294,0.9591,0.2533,0.9314
48,0.1271,0.9599,0.2513,0.9320
49,0.1246,0.9607,0.2496,0.9325
50,0.1222,0.9614,0.2478,0.9331
51,0.1199,0.9621,0.2459,0.9337
52,0.1177,0.9628,0.2442,0.9343
53,0.1155,0.9635,0.2426,0.9348
54,0.1137,0.9641,0.2443,0.9349
55,0.1118,0.9647,0.2428,0.9354
56,0.1106,0.9651,0.2413,0.9359
57,0.1088,0.9657,0.2395,0.9365
58,0.1070,0.9662,0.2379,0.9370
59,0.1053,0.9668,0.2362,0.9376
60,0.1037,0.9673,0.2346,0.9380
61,0.1022,0.9678,0.2333,0.9386
62,0.1006,0.9683,0.2319,0.9392
63,0.0990,0.9688,0.2306,0.9396
64,0.0975,0.9693,0.2293,0.9400
65,0.0964,0.9696,0.2294,0.9402
66,0.0955,0.9699,0.2283,0.9406
67,0.0941,0.9703,0.2272,0.9409
68,0.0928,0.9708,0.2261,0.9412
69,0.0914,0.9712,0.2250,0.9415
70,0.0901,0.9716,0.2239,0.9418
71,0.0889,0.9720,0.2228,0.9421
72,0.0877,0.9724,0.2218,0.9424
73,0.0870,0.9726,0.2213,0.9426
74,0.0860,0.9729,0.2201,0.9429
75,0.0850,0.9733,0.2197,0.9432
76,0.0841,0.9736,0.2191,0.9435
77,0.0830,0.9739,0.2184,0.9438
78,0.0820,0.9742,0.2175,0.9441
79,0.0814,0.9744,0.2176,0.9442
80,0.0806,0.9747,0.2170,0.9445
81,0.0797,0.9750,0.2162,0.9447
82,0.0788,0.9753,0.2155,0.9450
83,0.0779,0.9755,0.2149,0.9453
84,0.0770,0.9758,0.2143,0.9455
85,0.0761,0.9761,0.2137,0.9458
